OriginalMetadataColumnName,BITColumnName,Include (Yes/No) - Interest,Type
Run,SampleID,Yes,Sample charactertics
Sample.Characteristic.block.,SequencingBatch,Yes,Sequencing metrics
Sample.Characteristic.Ontology.Term.block.,Block,Yes,Sequencing metrics
Sample.Characteristic.developmental.stage.,Age,Yes,Phenotype
Sample.Characteristic.Ontology.Term.developmental.stage.,OntologyAge,No,Phenotype
Sample.Characteristic.individual.,DonorID,Yes,Phenotype
Sample.Characteristic.Ontology.Term.individual.,OntologyIndividual,No,Phenotype
Sample.Characteristic.karyotype.,Sex,Yes,Phenotype
Sample.Characteristic.Ontology.Term.karyotype.,KaryotypeOntology,No,Phenotype
Sample.Characteristic.organism.,Organism,No,Phenotype
Sample.Characteristic.Ontology.Term.organism.,OrganismOntology,No,Phenotype
Sample.Characteristic.organism.part.,Structure,Yes,Sample charactertics
Sample.Characteristic.Ontology.Term.organism.part.,StructureOntology,No,Sample charactertics
Sample.Characteristic.sampling.site.,Hemisphere,Yes,Sample charactertics
Sample.Characteristic.Ontology.Term.sampling.site.,HemisphereOntology,No,Sample charactertics
Factor.Value.developmental.stage.,NA,No,Sample charactertics
Factor.Value.Ontology.Term.developmental.stage.,NA,No,Sample charactertics
Factor.Value.organism.part.,NA,No,Sample charactertics
Factor.Value.Ontology.Term.organism.part.,NA,No,Sample charactertics
Analysed,NA,No,Sample charactertics
rail_id,RunID,No,Sample charactertics
external_id,SampleID,Yes,Sample charactertics
study,StudyID,No,Sample charactertics
sra.sample_acc.x,SampleACC,No,Sample charactertics
sra.experiment_acc,ExperimentACC,No,Sample charactertics
sra.submission_acc,SubmissionACC,No,Sample charactertics
sra.submission_center,SubmissionCentre,No,Sample charactertics
sra.submission_lab,SubmissionLab,No,Sample charactertics
sra.study_title,StudyTitle,No,Sample charactertics
sra.study_abstract,StudyAbstract,No,Sample charactertics
sra.study_description,StudyDescription,No,Sample charactertics
sra.experiment_title,ExperimentTitle,No,Sample charactertics
sra.design_description,DesignDescription,No,Sample charactertics
sra.sample_description,SampleDescription,No,Sample charactertics
sra.library_name,LibraryName,No,Sequencing metrics
sra.library_strategy,LibraryStrategy,No,Sequencing metrics
sra.library_source,LibrarySource,No,Sequencing metrics
sra.library_selection,LibrarySelection,No,Sequencing metrics
sra.library_layout,LibraryLayout,No,Sequencing metrics
sra.paired_nominal_length,PairedNominalLength,No,Sequencing metrics
sra.paired_nominal_stdev,PairedNominalStdev,No,Sequencing metrics
sra.library_construction_protocol,LibraryConstructionProtocol,No,Sequencing metrics
sra.platform_model,PlatformModel,No,Sequencing metrics
sra.sample_attributes,SampleAttributes,No,Sequencing metrics
sra.experiment_attributes,ExperimentAttributes,No,Sequencing metrics
sra.spot_length,SpotLength,No,Sequencing metrics
sra.sample_name,SampleName,No,Sequencing metrics
sra.sample_title,SampleTitle,No,Sequencing metrics
sra.sample_bases,SampleBases,No,Sequencing metrics
sra.sample_spots,SampleSpots,No,Sequencing metrics
sra.run_published,RunPublished,No,Sequencing metrics
sra.size,Size,No,Sequencing metrics
sra.run_total_bases,RunTotalBases,No,Sequencing metrics
sra.run_total_spots,RunTotalSpots,Yes,Sequencing metrics
sra.num_reads,NumReads,No,Sequencing metrics
sra.num_spots,NumSpots,No,Sequencing metrics
sra.read_info,ReadInfo,No,Sequencing metrics
sra.run_alias,RunAlias,No,Sequencing metrics
sra.run_center_name,Run_Center_Name,No,Sequencing metrics
sra.run_broker_name,Run_Broker_name,No,Sequencing metrics
sra.run_center,Run_Center,No,Sequencing metrics
recount_project.project,RecountProject,No,Sequencing metrics
recount_project.organism,Organism_recount,No,Sequencing metrics
recount_project.file_source,FileSource_Recount,No,Sequencing metrics
recount_project.metadata_source,Metadata_source,No,Sequencing metrics
recount_project.date_processed,Processed_Recount,No,Sequencing metrics
recount_qc.aligned_reads..chrm,ChimericPairs,Yes,Sequencing metrics
recount_qc.aligned_reads..chrx,Percent_aligned_ChrX,Yes,Sequencing metrics
recount_qc.aligned_reads..chry,Percent_aligned_ChrY,Yes,Sequencing metrics
recount_qc.bc_auc.all_reads_all_bases,AUC_all_alignments,Yes,Sequencing metrics
recount_qc.bc_auc.all_reads_annotated_bases,AUC_all_annotated_exons,No,Sequencing metrics
recount_qc.bc_auc.unique_reads_all_bases,AUC_uniquely_aligned,Yes,Sequencing metrics
recount_qc.bc_auc.unique_reads_annotated_bases,AUC_all_annotated_exons_unique,No,Sequencing metrics
recount_qc.bc_auc.all_.,AUC_all_percentage,Yes,Sequencing metrics
recount_qc.bc_auc.unique_.,AUC_unique_percentage,Yes,Sequencing metrics
recount_qc.bc_frag.count,TotalNFragments,Yes,Sequencing metrics
recount_qc.bc_frag.kallisto_count,ReadFragmentLength,No,Sequencing metrics
