OriginalMetadataColumnName,BITColumnName,Include (Yes/No) - Interest,Type
Run,SampleID,,
Sample.Characteristic.block.,SequencingBatch,,
Sample.Characteristic.Ontology.Term.block.,Block,,
Sample.Characteristic.developmental.stage.,Age,,
Sample.Characteristic.Ontology.Term.developmental.stage.,OntologyAge,,
Sample.Characteristic.individual.,DonorID,,
Sample.Characteristic.Ontology.Term.individual.,OntologyIndividual,,
Sample.Characteristic.karyotype.,Karyotype,,
Sample.Characteristic.Ontology.Term.karyotype.,KaryotypeOntology,,
Sample.Characteristic.organism.,Organism,,
Sample.Characteristic.Ontology.Term.organism.,OrganismOntology,,
Sample.Characteristic.organism.part.,Structure,,
Sample.Characteristic.Ontology.Term.organism.part.,StructureOntology,,
Sample.Characteristic.sampling.site.,Hemisphere,,
Sample.Characteristic.Ontology.Term.sampling.site.,HemisphereOntology,,
Factor.Value.developmental.stage.,NA,,
Factor.Value.Ontology.Term.developmental.stage.,NA,,
Factor.Value.organism.part.,NA,,
Factor.Value.Ontology.Term.organism.part.,NA,,
Analysed,NA,,
rail_id,RunID,,
external_id,SampleID_recount,,
study,StudyID,,
sra.sample_acc.x,,,
sra.experiment_acc,,,
sra.submission_acc,,,
sra.submission_center,,,
sra.submission_lab,,,
sra.study_title,,,
sra.study_abstract,,,
sra.study_description,,,
sra.experiment_title,,,
sra.design_description,,,
sra.sample_description,,,
sra.library_name,,,
sra.library_strategy,,,
sra.library_source,,,
sra.library_selection,,,
sra.library_layout,,,
sra.paired_nominal_length,,,
sra.paired_nominal_stdev,,,
sra.library_construction_protocol,,,
sra.platform_model,,,
sra.sample_attributes,,,
sra.experiment_attributes,,,
sra.spot_length,,,
sra.sample_name,,,
sra.sample_title,,,
sra.sample_bases,,,
sra.sample_spots,,,
sra.run_published,,,
sra.size,,,
sra.run_total_bases,,,
sra.run_total_spots,,,
sra.num_reads,,,
sra.num_spots,,,
sra.read_info,,,
sra.run_alias,,,
sra.run_center_name,,,
sra.run_broker_name,,,
sra.run_center,,,
recount_project.project,RecountProject,,
recount_project.organism,Organism_recount,,
recount_project.file_source,FileSource_Recount,,
recount_project.metadata_source,Metadata_source,,
recount_project.date_processed,Processed_Recount,,
recount_qc.aligned_reads..chrm,Percent_aligned_Chimeric,,
recount_qc.aligned_reads..chrx,Percent_aligned_ChrX,,
recount_qc.aligned_reads..chry,Percent_aligned_ChrY,,
recount_qc.bc_auc.all_reads_all_bases,AUC_all_alignments,,
recount_qc.bc_auc.all_reads_annotated_bases,AUC_all_annotated_exons,,
recount_qc.bc_auc.unique_reads_all_bases,AUC_uniquely_aligned,,
recount_qc.bc_auc.unique_reads_annotated_bases,AUC_all_annotated_exons_unique,,
recount_qc.bc_auc.all_.,AUC)all_percentage,,
recount_qc.bc_auc.unique_.,AUC_unique_percentage,,
recount_qc.bc_frag.count,Total_fragments,,
recount_qc.bc_frag.kallisto_count,Read_Fragment_length,,
recount_qc.bc_frag.kallisto_mean_length,Mean_Fragment_length,,
recount_qc.bc_frag.mean_length,Mean_Fragment_length_BAM,,
recount_qc.bc_frag.mode_length,Mode_Fragment_Length,,
recount_qc.bc_frag.mode_length_count,Mode_Fragment_Length_Count,,
recount_qc.exon_fc.all_.,Percentage_fragment_mapped,,
recount_qc.exon_fc.unique_.,Percentage_fragment_mapped_unique,,
recount_qc.exon_fc_count_all.total,,,
recount_qc.exon_fc_count_all.assigned,,,
recount_qc.exon_fc_count_unique.total,,,
recount_qc.exon_fc_count_unique.assigned,,,
recount_qc.gene_fc.all_.,,,
recount_qc.gene_fc.unique_.,,,
