pcw,AgeNumeric,AgeInterval
1,-0.75,
2,-0.730769231,
3,-0.711538462,
4,-0.692307692,
5,-0.673076923,
6,-0.653846154,
7,-0.634615385,
8,-0.615384615,8-9pcw
9,-0.596153846,8-9pcw
10,-0.576923077,10-12pcw
11,-0.557692308,10-12pcw
12,-0.538461538,10-12pcw
13,-0.519230769,13-15pcw
14,-0.5,13-15pcw
15,-0.480769231,13-15pcw
16,-0.461538462,16-18pcw
17,-0.442307692,16-18pcw
18,-0.423076923,16-18pcw
19,-0.403846154,19-24pcw
20,-0.384615385,19-24pcw
21,-0.365384615,19-24pcw
22,-0.346153846,19-24pcw
23,-0.326923077,19-24pcw
24,-0.307692308,19-24pcw
25,-0.288461538,25-38pcw
26,-0.269230769,25-38pcw
27,-0.25,25-38pcw
28,-0.230769231,25-38pcw
29,-0.211538462,25-38pcw
30,-0.192307692,25-38pcw
31,-0.173076923,25-38pcw
32,-0.153846154,25-38pcw
33,-0.134615385,25-38pcw
34,-0.115384615,25-38pcw
35,-0.096153846,25-38pcw
36,-0.076923077,25-38pcw
37,-0.057692308,25-38pcw
38,-0.038461538,25-38pcw
39,-0.019230769,39-40pcw
40,0,39-40pcw
